=== Elevator 0 Activity Log ===
Step | Type | Value
------------------
0 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
=== Elevator 0 Activity Log ===
Step | Type | Value
------------------
62 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
92 | STATE | MOVING UP
92 | STATE | STOPPED
92 | STATE | IDLE
=== Elevator 0 Activity Log ===
Step | Type | Value
------------------
80 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
=== Elevator 0 Activity Log ===
Step | Type | Value
------------------
64 | STATE | MOVING UP
125 | STATE | STOPPED
=== Elevator 0 Activity Log ===
Step | Type | Value
------------------
71 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
125 | STATE | IDLE
125 | STATE | MOVING UP
125 | STATE | STOPPED
